id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm74391,Fantasia,MOVIE,1940,G,120,"['animation', 'family', 'music', 'fantasy']",['US'],,tt0032455,7.7,94681,57.751,7.4
tm67803,Snow White and the Seven Dwarfs,MOVIE,1937,G,83,"['fantasy', 'family', 'romance', 'animation', 'thriller', 'drama']",['US'],,tt0029583,7.6,195321,107.137,7.1
tm82546,Pinocchio,MOVIE,1940,G,88,"['animation', 'comedy', 'family', 'fantasy']",['US'],,tt0032910,7.5,141937,71.16,7.1
tm79357,Bambi,MOVIE,1942,G,70,"['animation', 'drama', 'family']",['US'],,tt0034492,7.3,140406,68.136,7
tm62671,Treasure Island,MOVIE,1950,PG,96,"['family', 'action']","['GB', 'US']",,tt0043067,6.9,8229,10.698,6.5
tm61729,The Adventures of Ichabod and Mr. Toad,MOVIE,1949,G,68,"['fantasy', 'horror', 'animation', 'comedy', 'family']",['US'],,tt0041094,6.9,15405,10.862,6.5
tm61052,Cinderella,MOVIE,1950,G,74,"['fantasy', 'animation', 'family', 'romance']",['US'],,tt0042332,7.3,157099,144.284,7
tm87946,Dumbo,MOVIE,1941,G,63,"['animation', 'drama', 'family', 'fantasy']",['US'],,tt0033563,7.2,129548,69.875,7
tm4623,The Three Caballeros,MOVIE,1944,G,71,"['animation', 'comedy', 'family', 'fantasy']",['US'],,tt0038166,6.3,13889,11.75,6.4
tm77826,The Reluctant Dragon,MOVIE,1941,G,74,"['fantasy', 'animation', 'family', 'comedy']",['US'],,tt0034091,6.8,3280,6.958,6.6
tm89831,Fun and Fancy Free,MOVIE,1947,G,73,"['animation', 'family', 'fantasy', 'romance', 'comedy']",['US'],,tt0039404,6.4,8228,10.058,6.3
tm3616,Steamboat Willie,MOVIE,1928,G,8,['animation'],['US'],,,,,10.513,7.4
tm77407,Saludos Amigos,MOVIE,1942,,42,"['animation', 'fantasy', 'comedy', 'family']",['US'],,tt0036326,6.1,6506,20.418,5.8
tm71205,How to Play Baseball,MOVIE,1942,,8,"['comedy', 'animation']",['US'],,,,,4.179,6.6
tm5822,Melody Time,MOVIE,1948,,75,"['comedy', 'music', 'family', 'animation']",['US'],,tt0040580,6.2,5993,8.856,6.2
tm8579,Ferdinand the Bull,MOVIE,1938,G,8,['comedy'],['US'],,,,,10.983,6.5
tm134279,Three Little Pigs,MOVIE,1933,,8,['comedy'],['US'],,,,,8.883,6.8
tm74410,Tugboat Mickey,MOVIE,1940,,7,"['animation', 'family', 'comedy']",['US'],,,,,5.845,6.2
tm4759,Flowers and Trees,MOVIE,1932,,8,['animation'],['US'],,,,,7.105,6.7
tm80290,Swiss Family Robinson,MOVIE,1940,,93,"['action', 'family']",['US'],,tt0033124,6.4,641,4.777,5.1
tm60613,Beaver Valley,MOVIE,1950,,32,['documentation'],['US'],,,,,1.003,6.6
tm330224,The Ugly Duckling,MOVIE,1939,,9,"['comedy', 'animation']",['US'],,,,,9.947,6.8
tm137537,The Pied Piper,MOVIE,1933,,8,"['animation', 'family']",['US'],,,,,4.147,6.1
tm63024,The Old Mill,MOVIE,1937,,9,['thriller'],['US'],,,,,8.25,7.4
tm100567,The Big Bad Wolf,MOVIE,1934,,9,['animation'],['US'],,,,,9.139,6.4
tm116172,Thru the Mirror,MOVIE,1936,,9,['fantasy'],['US'],,,,,6.21,7.3
